4: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 10, 'SATColoredCNF': 10}
5: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 10, 'SATColoredCNF': 10}
6: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 9, 'SATColoredCNF': 10}
7: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 3, 'SATColoredCNF': 10}
8: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
9: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
10: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
11: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
12: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
13: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
14: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
15: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
16: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
17: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
18: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 10}
19: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 9}
20: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 8}
21: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 6}
22: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 3}
23: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 2}
24: {'MaxSATColored': 10, 'MaxSATColoredInflated': 10, 'mMstar': 0, 'SATColoredCNF': 1}
25: {'MaxSATColored': 9, 'MaxSATColoredInflated': 9, 'mMstar': 0, 'SATColoredCNF': 0}
26: {'MaxSATColored': 9, 'MaxSATColoredInflated': 9, 'mMstar': 0, 'SATColoredCNF': 0}
27: {'MaxSATColored': 6, 'MaxSATColoredInflated': 5, 'mMstar': 0, 'SATColoredCNF': 0}
28: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
29: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
30: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
31: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
32: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
33: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
34: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
35: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
36: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
37: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
38: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
39: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
40: {'MaxSATColored': 0, 'MaxSATColoredInflated': 0, 'mMstar': 0, 'SATColoredCNF': 0}
[4.0, 2.631578947368421, 7.142857142857142, 4.651162790697675, 4.25531914893617, 3.8461538461538463, 2.0408163265306123, 1.8181818181818181, 1.7241379310344827, 3.9215686274509802, 3.278688524590164, 2.083333333333333, 1.7241379310344827, 2.127659574468085, 8.0, 10.0, 4.081632653061225, 2.272727272727273, 7.936507936507936, -6300.0, 1.6129032258064515, -6700.0, -6500.0, -6800.0, -7200.0, -5500.0, -6600.0, 4.444444444444445, -7200.0, -5900.0, -6500.0, -7000.0, -6000.0, -6500.0, -6400.0, -8900.0, -7000.0, -6700.0, -7600.0, -5500.0, -7700.0, -7000.0, -7400.0, -7200.0, -6800.0, -5600.0, -6600.0, -6300.0, -8800.0, -6600.0, -9100.0, -5900.0, -5900.0, -6500.0, -9400.0, -7300.0, -8100.0, -7500.0, -6900.0, -7400.0, -6100.0, -5400.0, -7900.0, -7100.0, -7700.0, -5100.0, -6800.0, -6200.0, -8200.0, -7500.0, -5800.0, -6800.0, -6900.0, -6300.0, -7100.0, -7200.0]
[2.083333333333333, 1.7241379310344827, 2.272727272727273, -6300.0, 1.6129032258064515, -6700.0, -6500.0, -6800.0, -7200.0, -5500.0, -6600.0, -7200.0, -5900.0, -6500.0, -7000.0, -6000.0, -6300.0, -6200.0, -8900.0, -7000.0, -6700.0, -7600.0, -5500.0, -7600.0, -7000.0, -7400.0, -7000.0, -6600.0, -5600.0, -6600.0, -5900.0, -8800.0, -6600.0, -9100.0, -5900.0, -5900.0, -6500.0, -9200.0, -7300.0, -8000.0, -7500.0, -6900.0, -7200.0, -6100.0, -5400.0, -7900.0, -7100.0, -7700.0, -5100.0, -6800.0, -6200.0, -8200.0, -7500.0, -5800.0, -6800.0, -6900.0, -6300.0, -7100.0]
